userName,content,score,at,text_token,text_stopword,text_stemmed,clean_text,polarity_score,polarity
Pengguna Google,murah semua ada pengiriman cepat pengembalian gratis,5,2026-02-28 15:32:28,"['murah', 'semua', 'ada', 'pengiriman', 'cepat', 'pengembalian', 'gratis']","['murah', 'pengiriman', 'cepat', 'pengembalian', 'gratis']",murah kirim cepat kembali gratis,murah kirim cepat kembali gratis,7.0,positif
Pengguna Google,tahun ini parah ongkir nya super mahal,1,2026-03-06 12:58:28,"['tahun', 'ini', 'parah', 'ongkir', 'nya', 'super', 'mahal']","['parah', 'ongkir', 'super', 'mahal']",parah ongkir super mahal,parah ongkir super mahal,-3.0,negatif
Pengguna Google,belanja di shopee indonesia sangat memuaskan karena selain tepat waktu hasil belanjaan juga selalu sesuai dengan pesanan berjaya terus shopee indonesia terima kasih,5,2026-02-26 10:21:27,"['belanja', 'di', 'shopee', 'indonesia', 'sangat', 'memuaskan', 'karena', 'selain', 'tepat', 'waktu', 'hasil', 'belanjaan', 'juga', 'selalu', 'sesuai', 'dengan', 'pesanan', 'berjaya', 'terus', 'shopee', 'indonesia', 'terima', 'kasih']","['belanja', 'shopee', 'indonesia', 'memuaskan', 'hasil', 'belanjaan', 'sesuai', 'pesanan', 'berjaya', 'shopee', 'indonesia', 'terima', 'kasih']",belanja shopee indonesia muas hasil belanja sesuai pesan jaya shopee indonesia terima kasih,belanja shopee indonesia muas hasil belanja sesuai pesan jaya shopee indonesia terima kasih,15.0,positif
Pengguna Google,aplikasi sangat membantu kebutuhan apa dan kapan pun,5,2026-03-01 06:50:49,"['aplikasi', 'sangat', 'membantu', 'kebutuhan', 'apa', 'dan', 'kapan', 'pun']","['aplikasi', 'membantu', 'kebutuhan']",aplikasi bantu butuh,aplikasi bantu butuh,-3.0,negatif
Pengguna Google,mantap,5,2026-02-24 17:22:05,['mantap'],['mantap'],mantap,mantap,3.0,positif
Pengguna Google,kenapa verifikasi kok gabisa terus,5,2026-02-23 14:32:23,"['kenapa', 'verifikasi', 'kok', 'gabisa', 'terus']","['verifikasi', 'gabisa']",verifikasi gabisa,verifikasi gabisa,0.0,netral
Pengguna Google,buruk,1,2026-03-06 00:33:16,['buruk'],['buruk'],buruk,buruk,-3.0,negatif
Pengguna Google,barang bagus d dopi,5,2026-02-23 14:45:51,"['barang', 'bagus', 'd', 'dopi']","['barang', 'bagus', 'dopi']",barang bagus dop,barang bagus dop,-1.0,negatif
Pengguna Google,aplikasi ngebug benerin dulumasa dari tanggal sampe tanggal masih stuck di semarangpadahal barang segera mau di pakai,1,2026-03-03 20:38:23,"['aplikasi', 'ngebug', 'benerin', 'dulumasa', 'dari', 'tanggal', 'sampe', 'tanggal', 'masih', 'stuck', 'di', 'semarangpadahal', 'barang', 'segera', 'mau', 'di', 'pakai']","['aplikasi', 'ngebug', 'benerin', 'dulumasa', 'tanggal', 'sampe', 'tanggal', 'stuck', 'semarangpadahal', 'barang', 'pakai']",aplikasi ngebug benerin dulumasa tanggal sampe tanggal stuck semarangpadahal barang pakai,aplikasi ngebug benerin dulumasa tanggal sampe tanggal stuck semarangpadahal barang pakai,-7.0,negatif
Pengguna Google,lemot dan susah discroll,1,2026-03-02 10:43:02,"['lemot', 'dan', 'susah', 'discroll']","['lemot', 'susah', 'discroll']",lot susah discroll,lot susah discroll,-7.0,negatif
Pengguna Google,mantulll,5,2026-02-25 15:26:05,['mantulll'],['mantulll'],mantulll,mantulll,0.0,netral
Pengguna Google,shopee bagus tanggung jawab tidak sesuai bisa return,5,2026-02-26 05:50:32,"['shopee', 'bagus', 'tanggung', 'jawab', 'tidak', 'sesuai', 'bisa', 'return']","['shopee', 'bagus', 'tanggung', 'sesuai', 'return']",shopee bagus tanggung sesuai return,shopee bagus tanggung sesuai return,0.0,netral
Pengguna Google,good,5,2026-02-28 09:10:20,['good'],['good'],good,good,5.0,positif
Pengguna Google,gak pernah kecewa dech,5,2026-03-02 09:51:53,"['gak', 'pernah', 'kecewa', 'dech']","['kecewa', 'dech']",kecewa dech,kecewa dech,-3.0,negatif
Pengguna Google,aplikasi belanja on line palink terpercaya,5,2026-03-06 05:31:23,"['aplikasi', 'belanja', 'on', 'line', 'palink', 'terpercaya']","['aplikasi', 'belanja', 'line', 'palink', 'terpercaya']",aplikasi belanja line palink percaya,aplikasi belanja line palink percaya,4.0,positif
Pengguna Google,sangattt kerennnn baik ka,5,2026-02-23 16:29:43,"['sangattt', 'kerennnn', 'baik', 'ka']","['sangattt', 'kerennnn', 'ka']",sangattt kerennnn ka,sangattt kerennnn ka,0.0,netral
Pengguna Google,bagi fitur lengkapcuma terlalu cepat minta update terus,5,2026-02-28 02:42:43,"['bagi', 'fitur', 'lengkapcuma', 'terlalu', 'cepat', 'minta', 'update', 'terus']","['fitur', 'lengkapcuma', 'cepat', 'update']",fitur lengkapcuma cepat update,fitur lengkapcuma cepat update,0.0,netral
Pengguna Google,sangattt kerennnn baik ka,5,2026-02-23 16:29:43,"['sangattt', 'kerennnn', 'baik', 'ka']","['sangattt', 'kerennnn', 'ka']",sangattt kerennnn ka,sangattt kerennnn ka,0.0,netral
Pengguna Google,sangat baik untuk belanja selagi lapzknya jujur,5,2026-02-23 16:24:55,"['sangat', 'baik', 'untuk', 'belanja', 'selagi', 'lapzknya', 'jujur']","['belanja', 'selagi', 'lapzknya', 'jujur']",belanja selagi lapzknya jujur,belanja selagi lapzknya jujur,0.0,netral
Pengguna Google,bagus,5,2026-03-04 14:53:59,['bagus'],['bagus'],bagus,bagus,-1.0,negatif
Pengguna Google,bgs tapi gd filtur cod nya,3,2026-03-06 08:12:32,"['bgs', 'tapi', 'gd', 'filtur', 'cod', 'nya']","['bgs', 'gd', 'filtur', 'cod']",bgs gd filtur cod,bgs gd filtur cod,0.0,netral
Pengguna Google,makin lama makin mengecewakan entah sudah yang keberapa paket stuck ga dikirim ke lokasi tujuan dan kali ini sudah hari di sampai kota tujuan tapi stuck ga dikirim ke alamat tujuan bener bikin kecewa laporan pun trasa percuma slalu dapat jawaban copy paste,1,2026-02-23 07:20:43,"['makin', 'lama', 'makin', 'mengecewakan', 'entah', 'sudah', 'yang', 'keberapa', 'paket', 'stuck', 'ga', 'dikirim', 'ke', 'lokasi', 'tujuan', 'dan', 'kali', 'ini', 'sudah', 'hari', 'di', 'sampai', 'kota', 'tujuan', 'tapi', 'stuck', 'ga', 'dikirim', 'ke', 'alamat', 'tujuan', 'bener', 'bikin', 'kecewa', 'laporan', 'pun', 'trasa', 'percuma', 'slalu', 'dapat', 'jawaban', 'copy', 'paste']","['mengecewakan', 'keberapa', 'paket', 'stuck', 'dikirim', 'lokasi', 'tujuan', 'kali', 'kota', 'tujuan', 'stuck', 'dikirim', 'alamat', 'tujuan', 'bener', 'bikin', 'kecewa', 'laporan', 'trasa', 'slalu', 'copy', 'paste']",kecewa berapa paket stuck kirim lokasi tuju kali kota tuju stuck kirim alamat tuju bener bikin kecewa lapor trasa slalu copy paste,kecewa berapa paket stuck kirim lokasi tuju kali kota tuju stuck kirim alamat tuju bener bikin kecewa lapor trasa slalu copy paste,-2.0,negatif
Pengguna Google,heh iklan tu di kurang kurangin keganggu banget anjir padahal ga udah pencet tanda silang tetap aja masuk aplikasi nya keganggu banget aku main tolong di kurangin lah iklan tu ganggu banget,1,2026-03-06 05:21:38,"['heh', 'iklan', 'tu', 'di', 'kurang', 'kurangin', 'keganggu', 'banget', 'anjir', 'padahal', 'ga', 'udah', 'pencet', 'tanda', 'silang', 'tetap', 'aja', 'masuk', 'aplikasi', 'nya', 'keganggu', 'banget', 'aku', 'main', 'tolong', 'di', 'kurangin', 'lah', 'iklan', 'tu', 'ganggu', 'banget']","['heh', 'iklan', 'tu', 'kurangin', 'keganggu', 'banget', 'anjir', 'udah', 'pencet', 'tanda', 'silang', 'aja', 'masuk', 'aplikasi', 'keganggu', 'banget', 'main', 'tolong', 'kurangin', 'iklan', 'tu', 'ganggu', 'banget']",heh iklan tu rangin ganggu banget anjir udah pencet tanda silang aja masuk aplikasi ganggu banget main tolong rangin iklan tu ganggu banget,heh iklan tu rangin ganggu banget anjir udah pencet tanda silang aja masuk aplikasi ganggu banget main tolong rangin iklan tu ganggu banget,-17.0,negatif
Pengguna Google,pengiriman nya lambat dan juga kurir nya tidak bisa di wa centang,1,2026-02-24 06:18:15,"['pengiriman', 'nya', 'lambat', 'dan', 'juga', 'kurir', 'nya', 'tidak', 'bisa', 'di', 'wa', 'centang']","['pengiriman', 'lambat', 'kurir', 'wa', 'centang']",kirim lambat kurir wa centang,kirim lambat kurir wa centang,-4.0,negatif
Pengguna Google,ngelek,2,2026-03-05 00:39:50,['ngelek'],['ngelek'],ngelek,ngelek,0.0,netral
Pengguna Google,banyak seller penipu,1,2026-02-24 14:41:11,"['banyak', 'seller', 'penipu']","['seller', 'penipu']",seller tipu,seller tipu,0.0,netral
Pengguna Google,mantap,5,2026-03-04 11:12:49,['mantap'],['mantap'],mantap,mantap,3.0,positif
Pengguna Google,bagus,5,2026-03-02 13:48:16,['bagus'],['bagus'],bagus,bagus,-1.0,negatif
Pengguna Google,belanja online paling toppp mudah komplit dan efisien selalu bebas ongkir belanja rupiah,5,2026-03-04 15:06:15,"['belanja', 'online', 'paling', 'toppp', 'mudah', 'komplit', 'dan', 'efisien', 'selalu', 'bebas', 'ongkir', 'belanja', 'rupiah']","['belanja', 'online', 'toppp', 'mudah', 'komplit', 'efisien', 'bebas', 'ongkir', 'belanja', 'rupiah']",belanja online toppp mudah komplit efisien bebas ongkir belanja rupiah,belanja online toppp mudah komplit efisien bebas ongkir belanja rupiah,-1.0,negatif
Pengguna Google,mnarik,4,2026-03-01 00:35:35,['mnarik'],['mnarik'],mnarik,mnarik,0.0,netral
Pengguna Google,ok,4,2026-03-03 00:38:33,['ok'],['ok'],ok,ok,4.0,positif
Pengguna Google,baik cukup membantu,5,2026-02-25 11:27:03,"['baik', 'cukup', 'membantu']",['membantu'],bantu,bantu,-1.0,negatif
Pengguna Google,sekarang tokonya lambat respon maupun pengiriman,3,2026-02-27 08:40:50,"['sekarang', 'tokonya', 'lambat', 'respon', 'maupun', 'pengiriman']","['tokonya', 'lambat', 'respon', 'pengiriman']",toko lambat respon kirim,toko lambat respon kirim,3.0,positif
Pengguna Google,beduk berkah sudah selesai pasti terjadi kesalahan,1,2026-03-06 09:04:15,"['beduk', 'berkah', 'sudah', 'selesai', 'pasti', 'terjadi', 'kesalahan']","['beduk', 'berkah', 'selesai', 'kesalahan']",beduk berkah selesai salah,beduk berkah selesai salah,-2.0,negatif
Pengguna Google,selalu tepat waktu dan kurirnya baik,5,2026-02-24 01:21:13,"['selalu', 'tepat', 'waktu', 'dan', 'kurirnya', 'baik']",['kurirnya'],kurir,kurir,0.0,netral
Pengguna Google,goood,5,2026-02-26 09:24:12,['goood'],['goood'],goood,goood,0.0,netral
Pengguna Google,shopee the best,5,2026-02-26 12:55:07,"['shopee', 'the', 'best']","['shopee', 'best']",shopee best,shopee best,0.0,netral
Pengguna Google,kenapa sekarang ada biaya ukuran khusus dalam transaksi belanja online di shopee biaya ukuran khusus sangat menggangu,1,2026-02-25 04:42:16,"['kenapa', 'sekarang', 'ada', 'biaya', 'ukuran', 'khusus', 'dalam', 'transaksi', 'belanja', 'online', 'di', 'shopee', 'biaya', 'ukuran', 'khusus', 'sangat', 'menggangu']","['biaya', 'ukuran', 'khusus', 'transaksi', 'belanja', 'online', 'shopee', 'biaya', 'ukuran', 'khusus', 'menggangu']",biaya ukur khusus transaksi belanja online shopee biaya ukur khusus menggangu,biaya ukur khusus transaksi belanja online shopee biaya ukur khusus menggangu,9.0,positif
Pengguna Google,aplikasi sangat membantu banyak gratis ongkir,5,2026-03-01 09:52:36,"['aplikasi', 'sangat', 'membantu', 'banyak', 'gratis', 'ongkir']","['aplikasi', 'membantu', 'gratis', 'ongkir']",aplikasi bantu gratis ongkir,aplikasi bantu gratis ongkir,6.0,positif
Pengguna Google,yang kasihh bintang full blom merasakan kerugiannya saya yang sudah merasakan merasa menyesal yang belum menyesalmengalami lebih baik berhenti dari sekarang,1,2026-03-04 14:59:44,"['yang', 'kasihh', 'bintang', 'full', 'blom', 'merasakan', 'kerugiannya', 'saya', 'yang', 'sudah', 'merasakan', 'merasa', 'menyesal', 'yang', 'belum', 'menyesalmengalami', 'lebih', 'baik', 'berhenti', 'dari', 'sekarang']","['kasihh', 'bintang', 'full', 'blom', 'merasakan', 'kerugiannya', 'merasakan', 'menyesal', 'menyesalmengalami', 'berhenti']",kasihh bintang full blom rasa rugi rasa sesal menyesalmengalami henti,kasihh bintang full blom rasa rugi rasa sesal menyesalmengalami henti,-16.0,negatif
Pengguna Google,barang bagus sesuai,5,2026-03-04 19:33:22,"['barang', 'bagus', 'sesuai']","['barang', 'bagus', 'sesuai']",barang bagus sesuai,barang bagus sesuai,2.0,positif
Pengguna Google,keren,5,2026-02-28 06:41:33,['keren'],['keren'],keren,keren,3.0,positif
Pengguna Google,kalo bisa yang vip diksih murah truswalaupun sering comasa tambah di mahalin,5,2026-02-28 13:10:19,"['kalo', 'bisa', 'yang', 'vip', 'diksih', 'murah', 'truswalaupun', 'sering', 'comasa', 'tambah', 'di', 'mahalin']","['kalo', 'vip', 'diksih', 'murah', 'truswalaupun', 'comasa', 'mahalin']",kalo vip diksih murah truswalaupun comasa mahalin,kalo vip diksih murah truswalaupun comasa mahalin,1.0,positif
Pengguna Google,tingkatkan lg keamanannya,5,2026-02-24 05:19:25,"['tingkatkan', 'lg', 'keamanannya']","['tingkatkan', 'lg', 'keamanannya']",tingkat lg aman,tingkat lg aman,1.0,positif
Pengguna Google,bgus,5,2026-02-28 21:41:33,['bgus'],['bgus'],bgus,bgus,0.0,netral
Pengguna Google,bagus,5,2026-02-25 11:15:25,['bagus'],['bagus'],bagus,bagus,-1.0,negatif
Pengguna Google,memuaskan pelayanan nyaa,5,2026-03-06 02:42:05,"['memuaskan', 'pelayanan', 'nyaa']","['memuaskan', 'pelayanan', 'nyaa']",muas layan nyaa,muas layan nyaa,5.0,positif
Pengguna Google,saya sangat suka belanja di shopee,5,2026-03-05 15:01:34,"['saya', 'sangat', 'suka', 'belanja', 'di', 'shopee']","['suka', 'belanja', 'shopee']",suka belanja shopee,suka belanja shopee,0.0,netral
Pengguna Google,ok terimakasih,5,2026-02-28 07:09:35,"['ok', 'terimakasih']","['ok', 'terimakasih']",ok terimakasih,ok terimakasih,9.0,positif
Pengguna Google,mantap,5,2026-02-25 08:56:06,['mantap'],['mantap'],mantap,mantap,3.0,positif
Pengguna Google,mantapp bosquuu,5,2026-02-27 13:01:46,"['mantapp', 'bosquuu']","['mantapp', 'bosquuu']",mantapp bosquuu,mantapp bosquuu,0.0,netral
Pengguna Google,omg,5,2026-03-02 07:46:45,['omg'],['omg'],omg,omg,0.0,netral
Pengguna Google,mantap dan terpercaya berbelanja nya mudah dan ramah ramah,5,2026-02-23 04:37:01,"['mantap', 'dan', 'terpercaya', 'berbelanja', 'nya', 'mudah', 'dan', 'ramah', 'ramah']","['mantap', 'terpercaya', 'berbelanja', 'mudah', 'ramah', 'ramah']",mantap percaya belanja mudah ramah ramah,mantap percaya belanja mudah ramah ramah,9.0,positif
Pengguna Google,sangat nyaman berbelanja dan sudah beberapa tahun ini tidak pernah ada kendala selama berbelanja terima kasih shopee,5,2026-03-06 11:14:38,"['sangat', 'nyaman', 'berbelanja', 'dan', 'sudah', 'beberapa', 'tahun', 'ini', 'tidak', 'pernah', 'ada', 'kendala', 'selama', 'berbelanja', 'terima', 'kasih', 'shopee']","['nyaman', 'berbelanja', 'kendala', 'berbelanja', 'terima', 'kasih', 'shopee']",nyaman belanja kendala belanja terima kasih shopee,nyaman belanja kendala belanja terima kasih shopee,5.0,positif
Pengguna Google,mesen barang tgl estimasi sampe tgl hahahaha mending gua belanja di tiktok shop dari pada di shopee bobrok bener ni shopeawal estimasi tgl diundur lgi jadi enak bener lu shopee giliran di complain ga bisa di cancel itu barang kalo kelamaan mending gak ush pepek kan bisa di cancel biar gua belanja di tiktok shope aja ga nyampe seminggu udh nyampe itu barang ga ditunda lagi aplikasi dajal complein di cuekin pepek,1,2026-02-24 09:55:25,"['mesen', 'barang', 'tgl', 'estimasi', 'sampe', 'tgl', 'hahahaha', 'mending', 'gua', 'belanja', 'di', 'tiktok', 'shop', 'dari', 'pada', 'di', 'shopee', 'bobrok', 'bener', 'ni', 'shopeawal', 'estimasi', 'tgl', 'diundur', 'lgi', 'jadi', 'enak', 'bener', 'lu', 'shopee', 'giliran', 'di', 'complain', 'ga', 'bisa', 'di', 'cancel', 'itu', 'barang', 'kalo', 'kelamaan', 'mending', 'gak', 'ush', 'pepek', 'kan', 'bisa', 'di', 'cancel', 'biar', 'gua', 'belanja', 'di', 'tiktok', 'shope', 'aja', 'ga', 'nyampe', 'seminggu', 'udh', 'nyampe', 'itu', 'barang', 'ga', 'ditunda', 'lagi', 'aplikasi', 'dajal', 'complein', 'di', 'cuekin', 'pepek']","['mesen', 'barang', 'tgl', 'estimasi', 'sampe', 'tgl', 'hahahaha', 'mending', 'gua', 'belanja', 'tiktok', 'shop', 'shopee', 'bobrok', 'bener', 'ni', 'shopeawal', 'estimasi', 'tgl', 'diundur', 'lgi', 'enak', 'bener', 'lu', 'shopee', 'giliran', 'complain', 'cancel', 'barang', 'kalo', 'mending', 'ush', 'pepek', 'cancel', 'biar', 'gua', 'belanja', 'tiktok', 'shope', 'aja', 'nyampe', 'seminggu', 'udh', 'nyampe', 'barang', 'ditunda', 'aplikasi', 'dajal', 'complein', 'cuekin', 'pepek']",mesen barang tgl estimasi sampe tgl hahahaha mending gua belanja tiktok shop shopee bobrok bener ni shopeawal estimasi tgl undur lgi enak bener lu shopee gilir complain cancel barang kalo mending ush pepek cancel biar gua belanja tiktok shope aja nyampe minggu udh nyampe barang tunda aplikasi dajal complein cuekin pepek,mesen barang tgl estimasi sampe tgl hahahaha mending gua belanja tiktok shop shopee bobrok bener ni shopeawal estimasi tgl undur lgi enak bener lu shopee gilir complain cancel barang kalo mending ush pepek cancel biar gua belanja tiktok shope aja nyampe minggu udh nyampe barang tunda aplikasi dajal complein cuekin pepek,-16.0,negatif
Pengguna Google,pelayanan nya pengaduannya cepat di selesaikan,5,2026-03-05 05:23:19,"['pelayanan', 'nya', 'pengaduannya', 'cepat', 'di', 'selesaikan']","['pelayanan', 'pengaduannya', 'cepat', 'selesaikan']",layan adu cepat selesai,layan adu cepat selesai,-5.0,negatif
Pengguna Google,sangat cocok untuk belanja,5,2026-03-04 05:48:19,"['sangat', 'cocok', 'untuk', 'belanja']","['cocok', 'belanja']",cocok belanja,cocok belanja,0.0,netral
Pengguna Google,aplikasi berat,1,2026-03-03 05:03:49,"['aplikasi', 'berat']","['aplikasi', 'berat']",aplikasi berat,aplikasi berat,3.0,positif
Pengguna Google,muhammad ahza azumie one,5,2026-02-27 03:27:17,"['muhammad', 'ahza', 'azumie', 'one']","['muhammad', 'ahza', 'azumie', 'one']",muhammad ahza azumie one,muhammad ahza azumie one,0.0,netral
Pengguna Google,shopee semakin di depan,5,2026-03-02 11:08:37,"['shopee', 'semakin', 'di', 'depan']",['shopee'],shopee,shopee,0.0,netral
Pengguna Google,god job,5,2026-03-04 14:20:49,"['god', 'job']","['god', 'job']",god job,god job,0.0,netral
